,ids,scores,caption
0,63348c829133d3432093c89f,24.93,"A faceplant-free assortment🚠🇫🇷🏔 
🇮🇹🍕🍝🍒 
Amazing week of island living with @hurtadoisabel 🐏🐑 
🍀🍻🚗🚁🐑🐂 
🧗🏼‍♂️🏄‍♂️🍷🐂🇪🇸 
Next time I’ll tell mom about the trip to Colombia and Peru after we make it home safe #llamasloveskittles 
It’s like JetBlue but far, far less safe. Okay, seatbelts on 🛩✈️👌🏼 

Calm before the storm @haydencornwell_  @jayzabz 
"
1,63348c829133d3432093c8a0,82.76,"Last night heading to @chanelofficial ‘s beautiful soirée at the uber chic @casacruznyc 💫 celebrating the new originale watch 🖤🖤 #OOTN

Thank for having us! @rebekahmccabe @nadiajosse  @barbieschinazi ❤️ 
An afternoon to remember celebrating the launch of our @westmanatelier Complexion Drops with our forever inspiring community. 🤗 💐 ✨ Thank you all for loving our brand and so excited to share what’s coming up for holiday very soon! ❣️ 
Favorite time of year in #italy🇮🇹 @ilsalumaiodimontenapoleone1957 ❤️#truffleseason 
Just stunning @annehathaway celebrating 70 yrs of @moncler at the #duomo #milanfashionweek 💥💥💥 
@erinwalshstyle @hairbyorlandopita @ishaanisaha 
❤️

For this look I used @westmanatelier #vitalskincarecomplexiondrops in 0.5  applied with the #liquidblender brush #vitalskinfoundationstick in N ( as my concealer ) using #spotcheck brush 
#facetrace contour in #biscuit #babycheeks in #poppet  #superloadedtintedhighlight in #peaudepeche #lituphighlightstick in #pärla  #eyespods in #lesjours #bonnebrow in #slate #eyeloveyoumascara in #cleanblack  black liquid liner @chanel.beauty #lipsuede in #lesnudes #squeakycleanliquidlipbalm in #garconne  finishing off with #vitalpressedskincarepowder in #translucent 💗 
#FlashbackFriday swatching & testing a few shade options for our Complexion Drops.💧This formula took over 4 years to perfect with many many trials with our labs to achieve the final result—definitely a labor of love! ❣️💗 🧪 
Happy first day of fall! 🍂🐶 🍁 
Great PJs make all the difference! 💕💤 My favorites are from @schostalroma_official & sharing why this incredible historic shop is a must-visit today on #GuccisGuide 🇮🇹 Xx #OOTD

Thank you @shirleybraine ! 
Good skin days only! Here’s a quick #TuesdayTutorial showing how I conceal and spot check any rosacea flare ups and blemishes! Using my secret weapon brush and Vital Skin Foundation shade III @westmanatelier ☑️💖 
Thank you team @allure for this big honor! Our @westmanatelier Vital Skin Foundation has been named 2022’s Best Stick Foundation 🎉 🏆❤️🤗 #BestofBeautyAwards 
Did a sweep at @ondabeauty to stock up on the best clean exfoliators, creams, bath products, and more.☺️🛍️ 🍃 @naomiwatts you've curated the most beautiful store! Watch the full video for my fall shopping list–link in bio! 
From the Spanish Steps to London streets and even the Louvre–I brought my Pressed Skincare Powder everywhere this year! 😆💥 Sharing why it’s always in bag to refresh and amplify the skin on #GuccisGuide xx 
Favorite scenes from set 😍📸 💫

Featuring @emilygrace.hime in @westmanatelier Vital Skincare Complexion Drops Atelier 0.5
@versacelee23 in Atelier II
@fred.juneau in Atelier III
@lamekafox in Atelier IX
@eniolaabioro in Atelier XIII 
"
2,63348c829133d3432093c8a1,6.0,"Glamping with grandma ~ crepes for brekkie using our temp outdoor kitchen while we remodel the house. 😂 making the most of the chaos creating memories that will last a lifetime!! #crepes #nanna #grandma #glamping #remodel #mcm #midcenturymodern 🤪 
When dress is mood…
#oliviawilde 
@karlawelchstylist 
@dior  #💃🏼 
O L I V I A • W I L D E 🇺🇸
It’s raining in LA and that makes us smile..🌧
Lovely Friday with #oliviawilde #dontworrybaby 
Hair @mararoszak 
Makeup by me #jobakermakeupartist 
#makeupoftheday #soft #warm #makeup 
O L I V I A • W I L D E 🇺🇸
Late summer warm tones on #oliviawilde ✨
Style @karlawelchstylist @dior 
Hair @mararoszak 
Makeup by me #jobakermakeupartist 
Can’t wait to watch #dontworrydarling … you had me at the #slimaarons #palmsprings #50s references!!! 
#makeup #makeupoftheday #makeupartist #makeupideas #everydaymakeup #makeuplover #makeupaddict #makeupartistsworldwide 
S L I M E • T I M E 🧩
Graffiti inspired under eye art.. on #gracegaustad for new single  #oldways #pillbx 🔫
Nothing like a luminescent lurid lime slime… giving @monsterenergy vibes !! 
Style @laura_sophie_cox 
Nails @tombachik 
Hair @kyleeheathhair 
Makeup by me #jobakermakeupartist using @bakeupbeauty #bakeupnotmakeup #bakeupbeauty 
#lime #slime #neon #makeupoftheday 
S L I M E • T I M E • G R A F F I T I 💚
When they say you have 30 mins for a makeup change and you say “ I’ve got this one idea!” - 😁
This was a mad turnaround in the trailer G but worth so the hectic hustle!!! 🧩🔫💚 thanks for always giving me the creative freedom !!
Old ways - new single by @gracegaustad out now - link in my bio - absolutely love this song and I think we can all relate!! 
#bakeupnotmakeup by me #jobakermakeupartist using @bakeupbeauty (coming soon…) 
#makeupoftheday #makeup #bakeupbeauty #neon #slime #slimetime #graffiti #face 
Slime time graffiti tagging… on #gracegaustad 💚
One of two bold @bakeupbeauty looks for her latest single drop #oldways out now!!! I absolutely love this song ~ it melts my heart, listening to the lyrics ~ knowing you personality G … how deep and intimate your music is and how open you are as you share your personal trials and tribulations with us all …..we evolve, learn and grow together. 
Old Ways … link in my Bio now!! 🙌🏻✨ #pillbxwhtsurfantasy 
Director @van_alpert 
Style @laura_sophie_cox 
Nails @tombachik 
Hair @kyleeheathhair 
Makeup #jobakermakeupartist using #bakeupbeauty #bakeupnotmakeup 
D I S C O • V E I L E R ™️
Our #discoveiler ✨ is your fast dip tease in to whats coming @bakeupbeauty …our #feelgoodfilter is a lil sneak of our limited drop coming soon #IRL and many more fun things up our sleeves that we are working on and cannot wait to share…. 
#bakeupnotmakeup #weplaywhereyouplay #jobakermakeupartist 💋
Thanks for coming with us as we grow … and being a part of our art inspired beauty community. 💘 
What a dream…. to play in the paint, ….to mess around with sparkles and bring you fun stuff to play with!! We are just getting started… lots to come… I can’t wait to share. 100% feeling combined emotions ~ complete vulnerability mixed with excitement !! 😂 …thanks in advance for the support. I hope you’ll join me/us on this expressive journey where creativity can truly be a therapeutic healing part of your day!! 
@bakeupbeauty #bakeupnotmakeup 💥 by me #jobakermakeupartist 💋 our first limited drop coming soon!! 👀
#BAKEUPbeauty #bakeupwithus  #beauty #fashion #multiverse #multiversemakeup #makeup 
#discoveiler #veiler 
G R A C E • G A U S T A D 🇺🇸
Disco Veil… a custom fun sparkle eye piece I whipped up for #gracegaustad video #beautyandthebeast 💥 paired with a cartoon bubblegum 3D lip 🟣💓
Hair @claytonhawkins 
Nails @tombachik 
Makeup by me #jobakermakeupartist using @bakeupbeauty 💥💋 
G R A C E • G A U S T A D 🇺🇸
Wonder dots … primary play on #gracegaustad for her single #everybodysfriend ~ link in my bio to see vid!! 
Style @laura_sophie_cox 
Nails @tombachik 
Hair @kyleeheathhair 
Makeup by me #jobakermakeupartist 💋 
G R A C E • G A U S T A D 🇺🇸
What if your makeup said……………………………………….. “I’m different, ….I stand out, …..I’m uniquely just me and this is how I feel right now” ? 
⚡️

Primary abstract dotty paint play on #gracegaustad for her 2nd single drop of her new album #pillbx link in my bio to check out the new video shot by the incredibly talented @van_alpert ⚡️
This video brings to life how it feels to not be invited, not to be included and not to be considered. 
These are my favorite people - the eccentrics ~ under the radar. The unexpected original cool kids. 
Thanks G for another fun day allowing #makeup to help tell the story !! 
#hair @kyleeheathhair #nails @tombachik #makeupoftheday by me #jobakermakeupartist 💋 #abstractart 
"
3,63348c829133d3432093c8a2,6.0,"Vi Lai aka @whatsonvisface, represents the future of beauty influencing. 🔥 Her content doesn’t just tap into the latest and greatest lineup of beauty products, but it’s refreshing, comedic, and brutally honest. I was so happy to have met her at @haileybieber’s @rhode launch party and I’m so excited for you to hear our conversation. 

Tune in to Ep. 220 of the #NakedBeautyPodcast as we discuss her incredible life story of growing up in Vietnam, colorist beauty standards, using skincare as an entry point to her own self-realization and mental health journey, her love for psychedlics, consulting for celebrity skincare brands and much more. 

“Skincare as Self-Realization & Unlearning Toxic Beauty Standards ft. Vi Lai” is available on Apple, Spotify and wherever you podcast! 

Enjoy, beauties! 💖 
I deserve better 🥺 
follow for more sound financial advice 
what I eat in a day lol 
this is not a ad for iced lattes 
the time I saw my soul 
weird. 
practicing process of elimination every single time 
stay shady ☂ 
too blessed for oxidative stress 

sending this energy to everyone who needs it 💫 
"
4,63348c829133d3432093c8a3,14.74,"@_domyshoot_ I’m obsessed with this app ! Such a fun easy way to get the best photo for my posts on eBay as well ! Take control of your product photography with our AI powered mobile app. Create high converting product photos fast and at scale. Save Time and Money with DoMyShoot. #domyshoot #apps #photooftheday #photography #photoshoot #photogram #naturephotography #instaphoto #infographic #photographylovers #beautyeditorial #shotondms #usedomyshoot #domyshootmore 
#CatriceCosmeticsgiftedme #catrice #catricecosmetics #octolyfamily I love the easy  to blend lip liners ! Super pigmented and non drying and very flattering the shades ! 

• Highly pigmented and ultra-creamy formula • Satin-matte finish  • Long-lasting • Smudge proof, mask proof and waterproof  • Formulated with Peppermint oil and MAXI-LIP™ by Sederma • Includes an integrated sharpener  • Available in 10 shades • Cruelty Free • Vegan 
#vegan #crueltyFree #lipliners #lipstick  #lips #ian #tropicalstorm #floridalife #florida #30a #tampa #clearwater #ianstorm #storm #sarasotaflorida 
@olehenriksen I’m obsessed with their cream! Super smooth and poreless skin ! My skin feels so smooth ! I love it ! #olehenriksen #sephora #sephorahaul #shoppingaddict #shoppings #ultabeautysalon #hairtransformation #skintransformation #smoothie #smoothhair #beachwaver #beachwave #macccosmetics  #maccosmetics #mac #tartecosmetics #jaclynhill 
#merit @merit #meritminimalist  #gifted I’m obsessed with this bronzer stick! Easy and fast blendable contour that is creamy and buildable ! Swipe to see finish! It melts into the skin effortlessly! #bronze #bronzer #followmetoo #followmeback #femaleentrepreneur #maccosmetics #headbands #replenix #dermae #tartecosmetics https://muse.meritbeauty.com/jennifer62 
@unpa.official , @unpa.global
@dr.altheaglobal @dr.althea_official
@momsbathrecipe.us @momsbathrecipe.official
@cosnori_official
@_laundryou
@glowiest.global
@drdifferent_us. @drdifferent_global
@georganic_global #bathbox #bathbombs #monthlybox  Unpa Bubi Bubi Bubble Lip Scrub
Unpa Bubi Bubi Lip Mask
Dr.Althea Premium Squalane Silk Mask
Mom’s Bath Recipe Salicylic Acid Acne Body Wash
COSNORI Long Active Eyelash Serum
laundryou Sparkling Relaxing Bomb / Sparkling Fresh Bomb / Sparkling Softening  Bomb
laundryou Moisture Sun Cushion Clear
glowiest Sweet Dreams Bright Collagen Mask (Yuzu / Berry)
Dr.Different VITALIFT-A Forte
GEORGANIC Rose Peptide Contour Eye Cream #eyecream #bagofgoodies #thankyou #modelshoot #skinhealth #skincareroutine #Sophiesquad #sophie @bysophieofficial 
@ciatelondon I’m obsessed with this brand! I have been loving the body glow stick to hydrate and glow in the sunshine ! Super cute blush shimmer , lip gloss and brow ! Such a fun brand and I highly recommend thanks for sending these over I’m hooked #ciate #ciatelondon #ciatico #cutemakeup #makeuplooks #makeupartist #makeuptime #makeuplook #makeupforever #sephora #ultabeauty #skincareproducts 
I’m so obsessed with @larocheposayusa @larocheposay  they have an amazing retinol ! I love their face spf 70 ! Keeps my face great during my beach lifestyle #larocheposay #laroche #beachlife #spfxmakeup  #spf  #keywest #flawless_instafashion #flawlessmakeup #beautynews #floridasailing #visitflorida #beachlife #spf50 #spf70 #yogainspiration 
30% off discount code : BLONDE30
Swipe to see more case colors fall vibes in my town . Happy first day of fall yall! 
@go.casely #casely #iphonecases #iphone #fallbeach #beachfallvibes #gocasely 

Link to find phone cases!  https://glnk.io/zq0x/jennifersomkovic I am obsessed with their phone cases guys they are so cute and so durable for my phones ! My family loves their brand and they are going to be a fav for our new iPhone 📱 #iphone13promax #iphone14 #samsung #tvdedit #phonewallpaper #beachday #phones #phonecharm #iphoneonly #iphonephotography @get.casely 
#livingproofgiftedme @livingproofinc #livingproofinc #octolyfamily I’m obsessed with their cream ! Scent is perfect for me and I love how silky my hair has been! Can apply dry hair or damp! Perfect for my every day ! #hairdo #hairtransformation #haircolor #hairextensions #hairgoals #hairlove  #livingproofinc 
#pickyreview #gopicky #varuzapicky Tag @go.picky @pickyrewards @varuza_official I love the soft cream ! 
It is hydrating and comfortable! 
Moisturizing Derma Cream with 17 Amino Acids Vegan Nano Liposome Cream Low Molecular  Weight Hyaluronic Acid Oil Free (Ultra Moisturizing Derma Cream! 

Oil Free : Hydrating your skin can help oily skin produce less oil. By applying an oil-free moisturizer, you help balance your skin, preventing an increase in oil, yet still providing enough hydration to prevent your skin from drying out.

varuza is a clean-beauty brand that considers the environment for a better future! #nature #naturalskincare #pickoftheday #skincareroutine #skinhealth #momskincare #momlife #momof2 #skincareproducts #skincarenatural #skinroutine #concealertutorial #beautyaddict #beautyobsessed #beautyeditorial 
@beachwaver I’m obsessed! Super cute hair curls !! Beachwaver is a ceramic rotating curling iron.
It rotates and does all the work for you!
You control it ! I love the easy to use buttons ! 
It is the Easiest way to curl my hair!
My Curls last so long and looks amazing! So soft and looks great fast ! 
If you have trouble curling your hair,
the Beachwaver is so easy and fast!
It Creates gorgeous, beautiful waves in no time!! 
The Beachwaver is my favorite tool to get curls!
My curls last for days. No joke I keep 2-3 days with their  dry shampoo! 
• it is a Perfect holiday gift! 
• Limited Edition Color that is available in three sizes –
S.75, S1, S1.25
 @beachwaverbabes #beachwave #haircurl #beachwavestutorial #beachwaveshair #hairtutorial #haircolor #blondehair #hairtransformation #haircut 
  #30a #destinflorida #weddinghair #weddingguest 
Swipe to see how smooth it got!! @katesomervilleskincare I’m obsessed with their new products! Thank you for sending these gorgeous ! I love the smooth texture! Meet skin’s ultimate solution to combating the visible signs of skin dehydration. Perfected in Kate’s Skin Health Experts Clinic, this water cream encourages skin to drink in vital hydration, plumping & recharging thirsty skin after just 1 use. Nobel Prize-inspired AquaPort Technology & Hyaluronic Acid deliver instant and long-lasting hydration when and where skin needs it most, for skin so hydrated and supple it bounces back. The results? Visibly plump, smooth, refreshed-looking skin. #katesomervilleskincare #sephora #katesomerville #waterskin #watersigns #glassskingoals #glasses #glasskinmakeup #makeuplooks #skincareshop #skincarejunkie #skincarecommunity #skincarelover #embraceskinversity #skinpositivity 
"
5,63348c829133d3432093c8a4,4.0,"💓#lanights 
Felt this one ✨Somebody reach over and tell your neighbor, neighbor it’s already meant for you! All you’ve got to do is accept & believe it 💫
Amen. 

@relationshitte #believe 
Sheryl Lee Ralph ✨Glowing✨
 for the @jenniferhudsonshow 

Sheryl’s Team 
#MakeupbyMILA 
Hair @fingazbeauty 
Styling @ivycoco23 

✨Beauty highlights ✨
Skin prep @tatcha Dewy Skin Cream 
Eye cream @shanidarden Intensive Eye Renewal Cream 
@skinmedica Instant Bright eye mask 
@lumifydrops Eye drops 
Foundation @narsissist Radiant long wear foundation 
Concealer @narsissist Radiant Creamy concealer 
Blush @juviasplace Volume 5 
Brows @anastasiabeverlyhills Brow wiz dark brown 
Eyes @juviasplace The Saharan palette 
Eye liner @onesize / @patrickstarrr “Bodacious Black gel eyeliner”
Lashes @lillylashes “Houston”
@benefitcosmetics “they’re real” mascara
Lips @fentybeauty Gloss Bomb “Honey Waffkes”
Lip liner @maccosmetics “Chestnut” 
 @charlottetilbury Air brush flawless setting spray 
Glow @danessa_myricks Enlight Illuminator’s “Radiance”

@thesherylleeralph #sherylleeralph #jenniferhudsonshow #lamua #losangelesmakeupartist #fenty, #Juviasplace, #narscosmetics #tacha #onesizebeauty #maccosmetics #shanidarden #lumifydrops #anastasiabeverlyhills #skinmedica #benefitcosmetics #danessamyricks 
Love being apart of this magical moment✨@sherylleeralph 🫶🏽
#emmys2022 

Thank you @juviasplace #juviasplace #MakeupbyMILA 
BTS with the incomparable @thesherylleeralph✨ 
Final touches before her iconic Emmy Win!
#MakeupbyMILA 

I created Sheryl’s look using  @juviasplace luxurious caramel & bronze shades to achieve Sheryl’s glowing skin with nude matte eye shadows to create her smokey cut crease eyes. 

Full Beauty Breakdown
@juviasplace ✨
Foundation I am magic foundation “Zaria”
Contour - Shade sticks using shades Benin & Sakoto 
I am magic Concealer J13 
Bronze duo - Dark 
Eyes The Warrior eye shadow Palette 
Blush duo volume 5 
Glow - Royalty  highlighter 
Lips -Wahala liquid lipstick 
Lipliner - Brownie 
Glass lipgloss on top 
Nubian lashes “Zaria”
#juviasplace 

Sheryl’s Team 
#MakeupbyMILA 
Hair: @fingazbeauty 
Styling @itsrobertojohnson / @ivycoco23 
Dress @brandonblackwoodnyc 

#emmys2022 #sherylleeralph #losangelesmua #lamua #emmysglam #emmysmakeup 
“This is what believing looks like, this is what striving looks like and don’t you ever, ever give up on you.” @thesherylleeralph 

Words from the most inspiring and powerful acceptance speech of our time!
Congratulations Queen Sheryl Lee Ralph on this long over due yet in God’s perfect timing EPIC win!! Thank you for always trusting me with your glam and allowing me to be apart of this monumental moment ❤️ 

#GlamTeam
#MakeupbyMILA 
Hair @fingazbeauty 
Styling @itsrobertojohnson @ivycoco23 
Dress @brandonblackwoodnyc 

#sherylleeralph #Emmysglam #emmyawards #emmys 
THE STUNNING @thesherylleeralph Serving the girls today for the Creative Coalition Luncheon! 
Next stop 📍 The Emmy’s! 

#MakeupbyMILA 
Hair @fingazbeauty 
Styled by Cocoa Ralph @ivycoco23 

Standout products for this look! 
@narsissist foundation 
@narsissist Radiant creamy concealer 
Skin prep @tatcha 
Eye cream @shanidarden 
Eyes @danessa_myricks Color Fix Cosmic on lid 
Lips @kkaobykkb 
Glow @danessa_myricks 
Lashes @ienvybykiss 
Powder bronzer  @fashionfaircosmetics 
Brows @camillearianebrows 
Mascara @benefitcosmetics 
Blush @maccosmetics 
Setting powder @givenchybeauty 
.
.
.
.
.
#lamua #losangelesmakeupartist #lamakeupartist #celebritymakeupartist 
Fresh Glowing glam for the stunning @tamronhall ✨
#MakeupbyMila 
Hair: @johnnywright220 

#skinPrep for Tamron’s gorgeous skin @tatcha 
Foundation @narsissist Radiant long wear & radiant creamy concealers 
@givenchybeauty Prisme Libre loose powder 
Golden glow & contour powder @fashionfaircosmetics Iconic Pressed Powder “Rich Copper”
Eyes @maccosmetics Tan pigment 
Brows @anastasiabeverlyhills Dark brown brow wiz 
Lips @doseofcolors Knock on wood 
 @thelipbar Clear Gloss 
Lashes @ienvybykiss Kiss Natural 12 

#lamua 
#losangelesmakeupartist 
#lamakeupartist 
QUEEN👸🏽 Nicki Minaj 

#MakeupbyMila 
Photography @robertector 
Hair @arrogant_tae123 
Styling @diandretristan 
Styling assistant @itssodwayne 
The Baddest‼️👑🎀🇨🇦 
@nickiminaj x #OVO

#MakeupbyMILA 
.
.
.
.
.
.
#Nickiminaj 
#ovofest 
#lamua
#losangelesmakeupartist 
The Queen is coming 👑 @nickiminaj 🔥🔥🔥🔥🔥

8.12 #superfreakygirl 🎀💓✨

#MakeupbyMILA 
@robertector 
@arrogant_tae123 
@diandretristan 
BARBIE DRIPPIN 🎀💧
@nickiminaj👸🏽 

#MakeupbyMILA 
.
.
.
.
.
.

#nickiminaj #lamua #losangelesmua #losangelesmakeupartist #celebritymakeupartist #motd 
"
6,63348c829133d3432093c8a5,81.11,"🌈 
an amazing weekend celebratin my little Frenchie 🇫🇷 #queen 
really happy about our neighbors 
6th Annual 🍪 
💯 
Thankful for my #1 👑 
📚 
✨ 
A real life dream 
I’m here for the pretzels and soft serve ⚾️ 
🍷 
I swear he doesn’t hate me 
"
7,63348c829133d3432093c8a6,9.25,"Happy birthday ⭐️ @michellevisage ⭐️ 
Jessica✨

@jessicasimpson wearing Cali Vibe @tatti_lashes 
Look 1 of 172 for the @jenniferhudsonshow 💕

wearing Molly-Mae @tatti_lashes 
@jessicasimpson 👸🏼

wearing Timeless Beauty @tatti_lashes 
A week in Hawaii with 2 x Queens 👑👑 
@winnieharlow ✖️ @sohohome 

wearing @tatti_lashes TL6 Faux Me 
@iamjhud ☀️ 

wearing 3 favourites: @tatti_lashes TL6, @trigwellcosmetics Cheek + Eye Blush in Tropic Like It’s Hot + @makeupbymario Ultra Suede Lipstick in Amanda 
@winnieharlow 🖤 

wearing @tatti_lashes TL9 
🎢 
Happy birthday @winnieharlow ❤️🤍❤️🤍 
@sofiacarson ready for her @netflix Purple Hearts premiere 💜

wearing Side Hustle @tatti_lashes 
@michellevisage ✖️ @jimmykimmellive 
"
8,63348c829133d3432093c8a7,92.76,"Thank you @fatmascara for having me on the pod for the SECOND time 💜 Quick back story - my first time ever doing a podcast was @fatmascara nearly 3 years ago 🙈 I was super shy and nervous, but also extremely honored because it wasn’t until then that I realized people were actually listening!! At the time, I thought maybe my husband was right - I was just some crazy talking to her phone in bed 😂 Well turns out he was wrong and here we are.

This was such a full circle moment ❤️ I had so much fun chatting with @jenn_goldstein and @jessicamatlin about  BS beauty industry claims and regulations, Major Fade, and the journey that brought us here 🙌 

Addressing the 🐘 in the room - how has it become ok for brands to claim “non-toxic” (ie is everything else really going to kill you?) yet addressing a physical sign such as “hyperpigmentation” is a huge no⁉️While yes, it is true that a cosmetic product cannot and should not claim to *treat* hyperpigmentation, the terms that we are left with, like “helps address discoloration”, “brightens” and “glows”, create even greater confusion on the marketplace.

Interested to hear your thoughts below ⬇️ and to join in on the fun, link in bio for the full episode 

P.s. If you wanted to go back to listen to my first episode it’s still up ( Ep. 139 All About Eyes). You can say I’ve popped out of my shell since then 🐣 
This is NOT a @poise ad 🤣 but the face of a woman who has NOT slept all week 💥 Nonetheless, so excited to finally see this in print 🫣🫣🫣 “The Stuff of Dreams!” 😮🤯 and I didn’t even realize it was in the Best of Beauty Issue!!!! Thank you so much @allure and @diannamazzone for this honor 🙏💜 
Oh Brad…. At this rate, I might as well nominate myself (or any dermatologist) for an Oscar 😂🤷‍♀️ PLUS HE FORGOT THE DAMN SUNSCREEN 🤦‍♀️ 
🥹😭 I AM SPEECHLESS 🥹😭

📣🤓 Nerds and Germs: we are very excited to announce that we sadly are not able to honor 48 hours of access to our PreSale because … WE. HAVE. OFFICIALLY. SOLD. OUT!!!!!!! 💜💜💜💜💜💜💜💜💜

Never in a million years did I think this would happen, let alone happen in less than 2 days…. Thank you, thank you, thank you, thank you thank you, thank you, thank you, thank you, thank you, thank you, thank you…. Just doesn’t do it justice! There are not enough thank you(s) in the world to describe the level of gratitude I have for all of your support, encouragement, and trust in me ❤️ 

I can’t wait for my little babies to finally land in your hands, to start hearing about your experience, see your progress, and to embark on this new chapter with all of you 🙏🔥❤️

LET’S GOOOOOOO 🚀 
@pillowtalkderm the brand story, how the products works, why I hate meaningless BS sustainable claims, and my gratitude for all of you 
✨ Welcome to the next chapter of PillowtalkDerm 

If you had told me 4 years ago that I would be brave enough to pick myself up from nothing, be capable of using my voice to speak up, have the courage to follow through on my dreams and to top it off, have an army of as obsessed and accepting skin nerds by my side, I would have thought you’re smoking something… 🤷‍♀️

Fast forward to now, and not a day goes by where all of your support, encouragement, questions, stories, willingness to share & listen is lost on me. There will never be enough thank yous for helping me find my way while giving me the chance to help you ❤️

Over the last 2 years, as I was building the skincare, many people told me I should build it as Dr Idriss…And although the story started with me, the reality is it has always been an US story. PillowtalkDerm is more than just another doctor skincare brand… it’s about empowering ourselves through education and each other’s support, to help ourselves have the confidence we deserve 🙌

I’m so excited for this next chapter, and for US to show the beauty industry what it really means to give the people what WE want + deserve 🔥

Let’s Go Nerds 🤓🚀

directed and photographed by @elirezkallah 
produced by @plastikstudios 
Last chance to get in @ Pillowtalkderm.com 🚀 48 hours only starts 9.19.22 
2 years in the making. Link in bio 🚀 
Debunking BS beauty claims one myth, one comment at a time 💥

Join my Live Premiere on YouTube tomorrow at 10am 📺 Bring the popcorn 🍿 because it gets gooood.

And if you haven’t already (and the early bird does get the worm 🤓📒) SIGN UP for First Access to PillowtalkDerm Skincare. Link in bio 🔗 
Sign Up at PillowtalkDerm.com
Link in Bio ⬆️ 
A year ago today, I opened the (nonexistent) doors to my practice @idrissderm 

The start to my business was a very rocky one, met with bumps, roadblocks, and literally no office. The weeks leading up to the opening, supply chain issues delayed construction, and left me with no office space despite having a full schedule of patients ready to be seen. I felt hopeless and wanted to quit, even before beginning. 

And although I’d like to believe I did not quit because of willpower, the biggest reason I did not quit is because of the support of these amazing people 🥹 We found a temporary space within a week of opening, signed a lease, cleaned it up, had fake walls put up, brought decorations from home and called it a “pop up!” 

It took a village, not just to open, but to get me here today. We rise by lifting others, and without the support of this amazing group and my patients, I would have been at the bottom of a black hole 🤣🤷‍♀️#truth

So thank you - to my husband, my sisters, dr kim, Vanessa, tiffany, Melinda, marie and my veryyy dedicated patients to whom I am grateful for everyday because without you, I wouldn’t be able to  write “WE F*CKING MADE IT TO A YEAR!!!!” 🎉 

Happy one year anniversary @idrissderm 👶 
📚Let’s get intimate: Kojic Acid! Full video up now on YouTube 📺 
"
9,63348c829133d3432093c8a8,12.95,"#AD Mommy shark and baby shark getting ready for bedtime 🥰 Drew is the biggest Baby Shark fan so ending the night with these goodies was a no brainer. Parents, grab these Baby Shark essentials at @walmart, @target, @amazon, & @kohl’s now! #babyshark 
A day late but happy #nationaldaughtersday to this sass filled light of my life. (P.a. She dressed herself and asked me to film her 🤣) 
This space has come such a long way. When we started this project, we had no idea what it would entail. Many many months and several projects later... we're SO glad we now have a multifunctional space where we can work peacefully with the FamilyMade Media team and retreat to as a family. I mean... just look at how beautiful it is!! 😍 Shout out to @sunbrella for making the space complete & perfect in EVERY way. From the dog to the occasional coffee spill, our comfy furniture made with Sunbrella fabric has held up seamlessly (coffee spills wipe RIGHT off). We literally couldn't imagine how it would look now if we hadn't had your help the entire way!! Swipe all the way to see the before 🥴 #SunbrellaPartner 
At least one of us is excited for the next 10 @shawnjohnson #marriage #couples #family #cute 
Full video on YouTube! Drew’s first commercial 🥴🥹😍 and the best mommy daughter trip to LA! Link in stories! 
Best video ever? Yes. 😍🥹🤣 
To say I'm obsessed with @caliafitness new collections LustraLux & Powermove would be an understatement. As a gymnast, the fabric and technology in fitness apparel has been important to me. The new LustraLux collection is made to perform the BEST in studio workouts – think yoga, barre, pilates – but with its buttery soft fabric, you will want to LIVE in them. P.s. Calia... thanks for always making this momma feel empowered 😊 #IChooseWhatFits #CALIAPartner 
I’ve had some good partners ☺️ fun night at @dancingwiththestars #dwts #disney #marriage #couples #dancing 
My girl 🥹 @drewhazeleast 
How is he so old 😭 #myboy 
My heart is so full ☺️ (full video on YouTube) 
My forever dance partner 😊 @andrewdeast 
"
